order_item_id,order_id,product_id,quantity,unit_price
1,5001,2018,2,199.0
2,5001,2029,1,759.05
3,5002,2013,2,474.05
4,5003,2016,2,719.1
5,5003,2003,1,539.1
6,5004,2010,1,1519.05
7,5004,2021,1,1169.1
8,5005,2025,3,2499.0
9,5005,2011,1,1709.05
10,5006,2013,2,474.05
11,5007,2030,3,1899.05
12,5007,2001,2,799.0
13,5007,2003,2,599.0
14,5007,2015,3,899.0
15,5008,2003,1,599.0
16,5009,2009,1,1299.0
17,5010,2013,3,449.1
18,5010,2004,1,1979.1
19,5011,2028,1,989.1
20,5011,2004,2,2089.05
21,5011,2026,3,299.0
22,5012,2019,2,629.1
23,5013,2020,2,949.05
24,5013,2006,3,999.0
25,5014,2019,1,629.1
26,5014,2024,2,1259.1
27,5014,2022,3,899.0
28,5015,2019,3,664.05
29,5015,2007,2,2499.0
30,5016,2028,2,1099.0
31,5016,2013,2,449.1
32,5017,2029,2,759.05
33,5017,2025,1,2499.0
34,5017,2014,1,1234.05
35,5018,2030,2,1799.1
36,5019,2006,1,949.05
37,5020,2008,1,349.0
38,5020,2024,3,1259.1
39,5021,2010,2,1599.0
40,5021,2019,2,699.0
41,5021,2013,1,499.0
42,5022,2027,1,134.1
43,5022,2023,1,1599.0
44,5023,2029,1,759.05
45,5024,2005,2,2999.0
46,5025,2016,1,799.0
47,5025,2009,2,1234.05
48,5025,2021,3,1299.0
49,5026,2030,2,1999.0
50,5027,2011,1,1619.1
51,5027,2020,2,949.05
52,5028,2022,1,809.1
53,5029,2016,3,759.05
54,5029,2008,1,314.1
55,5030,2016,1,799.0
56,5030,2021,1,1234.05
57,5031,2024,1,1399.0
58,5031,2020,2,999.0
59,5032,2012,1,1899.0
60,5032,2017,1,584.1
61,5033,2001,3,759.05
62,5033,2028,1,1099.0
63,5034,2001,1,799.0
64,5034,2008,1,349.0
65,5034,2012,2,1899.0
66,5035,2003,1,569.05
67,5035,2014,1,1169.1
68,5035,2002,2,1499.0
69,5036,2006,1,949.05
70,5036,2028,1,1099.0
71,5036,2023,2,1599.0
72,5037,2028,1,989.1
73,5037,2020,3,949.05
74,5038,2009,2,1299.0
75,5038,2024,2,1399.0
76,5039,2011,3,1619.1
77,5039,2009,1,1299.0
78,5040,2023,3,1519.05
79,5040,2028,3,1044.05
80,5040,2010,2,1439.1
