order_id,customer_id,order_date,order_status
5001,1070,2025-07-06,Cancelled
5002,1086,2025-06-21,Pending
5003,1011,2025-02-11,Delivered
5004,1016,2025-07-07,Pending
5005,1097,2025-04-20,Cancelled
5006,1073,2025-10-04,Delivered
5007,1059,2025-11-28,Delivered
5008,1070,2025-03-15,Delivered
5009,1080,2025-06-26,Delivered
5010,1093,2025-12-05,Delivered
5011,1003,2025-02-21,Delivered
5012,1020,2025-02-22,Cancelled
5013,1059,2025-10-21,Delivered
5014,1036,2025-01-21,Delivered
5015,1019,2025-04-14,Delivered
5016,1090,2025-11-07,Delivered
5017,1067,2025-09-19,Delivered
5018,1019,2025-09-08,Delivered
5019,1020,2025-02-13,Pending
5020,1096,2025-08-12,Delivered
5021,1071,2025-12-12,Pending
5022,1052,2025-04-09,Delivered
5023,1033,2025-09-30,Delivered
5024,1040,2025-04-12,Delivered
5025,1039,2025-04-09,Pending
5026,1082,2025-05-04,Pending
5027,1001,2025-04-24,Delivered
5028,1011,2025-07-24,Delivered
5029,1092,2025-11-19,Delivered
5030,1057,2025-05-03,Pending
5031,1089,2025-03-25,Cancelled
5032,1050,2025-08-14,Pending
5033,1023,2025-10-13,Cancelled
5034,1031,2025-09-15,Delivered
5035,1094,2025-06-22,Pending
5036,1042,2025-07-20,Delivered
5037,1099,2025-08-24,Delivered
5038,1007,2025-07-05,Delivered
5039,1016,2025-04-18,Cancelled
5040,1090,2025-02-14,Delivered
5041,1060,2025-04-15,Delivered
5042,1002,2025-06-10,Cancelled
5043,1001,2025-06-09,Delivered
5044,1048,2025-07-18,Pending
5045,1012,2025-08-21,Delivered
5046,1069,2025-02-15,Delivered
5047,1037,2025-10-04,Delivered
5048,1032,2025-07-11,Delivered
5049,1009,2025-01-22,Delivered
5050,1099,2025-10-15,Cancelled
5051,1019,2025-08-14,Cancelled
5052,1048,2025-10-22,Delivered
5053,1080,2025-10-09,Pending
5054,1003,2025-03-12,Delivered
5055,1020,2025-04-03,Delivered
5056,1024,2025-08-14,Delivered
5057,1054,2025-12-17,Delivered
5058,1033,2025-07-15,Delivered
5059,1024,2025-01-28,Delivered
5060,1075,2025-07-05,Pending
5061,1072,2025-04-19,Delivered
5062,1036,2025-08-30,Cancelled
